alert_id,ground_truth,model,view,disposition,confidence,summary,investigation_queries,draft_user_message,caveats,auto_summary_lines,auto_summary_over_5,auto_unknown_entities,auto_queries_count,auto_queries_syntactic,auto_draft_present,auto_tid_in_summary,summary_supported(Y/N/partial),unsupported_statement_count(int),queries_valid(Y/N),queries_relevant(Y/N),draft_appropriate(Y/N),confidence_calibrated(Y/N),reviewer_notes
A01,T1053.003,qwen3:8b,operational,likely_true_positive,medium,Auditd detected modification to /etc/cron.d/amtest with root privileges | tee command used to write to cron configuration file | Process executed with euid=0 (root) from auid=1000 | Alert triggered by rule detecting Cron persistence attempts | Modification successful (audit.success=yes),"SELECT * FROM logs WHERE file=""/etc/cron.d/amtest"" AND user=""1000"" AND command LIKE ""%tee%""; | SELECT * FROM processes WHERE pid=48762 AND ppid=48761 AND cmdline LIKE ""%/etc/cron.d/amtest%""; | SELECT * FROM files WHERE path=""/etc/cron.d/amtest"" AND modification_time > NOW()-14400;",We've detected a recent modification to the cron.d configuration file. Please verify if this change was authorized.,False positive risk if this was a legitimate cron job update. Verify file contents and user authorization.,5,,,3,3/3,yes,,Y,0,N,Y,Y,Y,"Summary fully supported. The generic SQL uses undefined tables/fields rather than concrete Wazuh/Discover syntax, so the set is not runnable in this environment; the intended file, process and modification checks are relevant. Draft and medium confidence are appropriate."
A02,benign,qwen3:8b,operational,needs_investigation,medium,Registry Run key modified in HKU\S-1-5-21-2783956757-1425684079-3775447278-1000\Software\Microsoft\Windows\CurrentVersion\Run | Process: C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe | Registry value name: MicrosoftEdgeAutoLaunch_4BA50610520F860366FF3F962A4A3114 | MITRE ATT&CK T1547.001 (Registry Run Keys / Startup Folder) | Persistence attempt detected,SELECT * FROM WinEventLog WHERE SourceName = 'Microsoft-Windows-Sysmon' AND EventID = 1 AND TimeCreated >= '2026-07-05T10:45:40' | SELECT * FROM WinRegistry WHERE Hive = 'HKU' AND Key = 'S-1-5-21-2783956757-1425684079-3775447278-1000\Software\Microsoft\Windows\CurrentVersion\Run' AND ValueName LIKE 'MicrosoftEdgeAutoLaunch%' | SELECT * FROM WinProcess WHERE ProcessName = 'msedge.exe' AND StartTime >= '2026-07-05T10:45:40',We've detected an unusual modification to a registry Run key associated with Microsoft Edge. Please review system activity for potential persistence mechanisms.,Time data incomplete due to telemetry limitations; false positive risk exists as msedge.exe is a legitimate process,5,,HKU\S-1-5-21-2783956757-1425684079-3775447278-1000\Software\Microsoft\Windows\CurrentVersion\Run C:\Program (x86)\Microsoft\Edge\Application\msedge.exe,3,3/3,yes,FLAG,Y,0,N,Y,Y,Y,"Summary fully supported by the rule and Edge Run-key fields. The generic SQL is not runnable Wazuh/Discover syntax, but the registry and process checks are relevant. The cautious needs_investigation/medium pairing, draft and confidence are appropriate for a likely benign Edge auto-launch event."
A03,T1218,qwen3:8b,operational,likely_true_positive,high,"mshta.exe executed with encoded PowerShell command line | URL-encoded payload: 'CreateObject(""Wscript.Shell"").Run ""powershell.exe -nop -Command Write-Host Hello, MSHTA!;Start-Sleep -Seconds 5' | MITRE T1218: System Binary Proxy Execution | Command line contains suspicious URL-encoded PowerShell execution | Alert detected 29 seconds after initial event","SELECT * FROM logs WHERE command_line LIKE '%mshta.exe%' AND command_line LIKE '%powershell.exe%' | SELECT * FROM logs WHERE process_name='mshta.exe' AND timestamp BETWEEN '2026-07-05 15:40:00' AND '2026-07-05 15:45:00' | SELECT * FROM logs WHERE event_id='1' AND process_name='powershell.exe' AND timestamp BETWEEN '2026-07-05 15:40:00' AND '2026-07-05 15,45:00'",We've detected unusual activity involving mshta.exe executing PowerShell commands. Our systems are currently investigating this to ensure there's no unauthorized access.,False positive risk if legitimate mshta.exe usage exists; URL-encoded payloads often indicate malicious activity.,5,,,3,3/3,yes,FLAG,Y,0,N,Y,Y,Y,"Summary fully supported. The SQL-like set is not runnable Wazuh/Discover syntax and one timestamp contains a comma in 15,45:00, but the mshta/PowerShell/time-window checks are relevant. Draft and high confidence are appropriate."
A04,T1037,qwen3:8b,operational,needs_investigation,medium,Auditd detected modification of init script /etc/init.d/amtest_t1037_AM-LIN-T1037-20260708194238 | Process executed as root (uid/euid 0) with tty pts1 | File modification coincides with T1037 MITRE technique | Audit latency 1.711 seconds | Script path matches common persistence targets,SELECT * FROM logs WHERE file_path = '/etc/init.d/amtest_t1037_AM-LIN-T1037-20260708194238' AND user_id = 0 | SELECT * FROM processes WHERE pid = 57504 OR ppid = 57503 | SELECT * FROM auditd WHERE audit_file = '/etc/init.d/amtest_t1037_AM-LIN-T1037-20260708194238' AND audit_uid = 0,We've detected potential modification of system initialization scripts. Please review /etc/init.d/amtest_t1037_AM-LIN-T1037-20260708194238 for unexpected changes.,File name contains timestamp which may be obfuscation; confidence is medium due to lack of direct malicious content evidence,5,,,3,3/3,yes,FLAG,Y,0,N,Y,Y,Y,"Summary fully supported. The generic logs/processes/auditd SQL is not runnable Wazuh/Discover syntax, but the file and process checks are relevant. Draft and medium confidence are appropriate."
A05,T1547.001,qwen3:8b,operational,likely_true_positive,high,Registry Run key modified under HKU\S-1-5-21-2783956757-1425684079-3775447278-1000 | Targeted Run key: AMTest in Software\Microsoft\Windows\CurrentVersion\Run | Process: C:\WINDOWS\system32\reg.exe executed the change | Alert detected 4.47 seconds after initial event | MITRE T1547.001 (Registry Run Keys / Startup Folder) persistence technique,SELECT * FROM win_event WHERE event_id=100205 AND registry_key LIKE '%Run%' | SELECT * FROM win_registry WHERE key_path LIKE '%Software\\Microsoft\\Windows\\CurrentVersion\\Run%' | SELECT * FROM win_process WHERE image='reg.exe' AND command_line LIKE '%HKU\\S-1-5-21-2783956757-1425684079-3775447278-1000%',We've detected an unusual registry modification to the Run key under your user profile. This could indicate unauthorized persistence mechanisms. Please review the affected system for suspicious activity.,False positive risk if the AMTest entry is a legitimate application. Verify if the registry value contains expected command-line parameters.,5,,HKU\S-1-5-21-2783956757-1425684079-3775447278-1000 C:\WINDOWS\system32\reg.exe,3,3/3,yes,FLAG,Y,0,N,Y,Y,Y,"Summary fully supported. The generic win_event/win_registry/win_process SQL is not runnable Wazuh/Discover syntax, but the Run-key and reg.exe checks are relevant. Draft and high confidence are appropriate."
A06,T1098.004,qwen3:8b,operational,needs_investigation,medium,Auditd detected modification of /root/.ssh/authorized_keys | Process ran as UID 0 (root) with effective UID 0 | Activity logged under rule ID 100116 (SSH authorized keys persistence) | Audit syscall 257 (open) succeeded with exit code 3 | Command executed as user 'notroot' in /home/notroot,SELECT * FROM auditd WHERE file='/root/.ssh/authorized_keys' AND uid=0 ORDER BY timestamp DESC; | SELECT * FROM processes WHERE pid=43536 OR ppid=43535 ORDER BY timestamp DESC; | SELECT * FROM files WHERE path='/root/.ssh/authorized_keys' AND modification_time > NOW() - INTERVAL '7days',We've detected unusual access to root's SSH authorized keys file. Please verify if recent changes were authorized.,"Modification of authorized_keys could be legitimate, but elevated privileges and audit context raise persistence concerns",5,,,3,3/3,yes,,partial,1,N,Y,Y,Y,"One unsupported attribution: auid=1000 and cwd=/home/notroot do not prove that the username was 'notroot'. The generic auditd/processes/files SQL is not runnable Wazuh/Discover syntax, but its checks are relevant. Draft and medium confidence are appropriate."
A07,benign,qwen3:8b,operational,needs_investigation,medium,Linux auditd detected setuid/setgid bit change via dconf-service | Audit syscall 90 (chown) succeeded on user config file | Process ran as user 1000 with no elevation detected | Alert matches MITRE T1548.001 technique | No immediate privilege escalation observed,grep 'chown' /var/log/audit/audit.log | audit2why | ps -ef | grep dconf-service | find /home/notroot/.config/dconf/ -name 'user' -exec ls -l {} \;,"We detected unusual file permission changes related to your configuration settings. Our systems are monitoring for potential privilege escalation attempts, but no elevation was observed at this time.",False positive risk exists as the process is legitimate but accessing user config files could indicate credential dumping. The user is not root and no elevation occurred.,5,,,3,0/3,yes,FLAG,partial,1,N,Y,Y,Y,"One factual error: on x86-64 syscall 90 is chmod, not chown. The command set is not a complete Wazuh/Discover query set (audit2why has no input), but the audit/process/file checks are relevant. Draft and needs_investigation/medium confidence are appropriate for benign dconf activity."
A08,benign,qwen3:8b,operational,needs_investigation,medium,"Windows Defender Platform process (MsMpEng.exe) accessed LSASS memory with elevated permissions | Alert indicates potential credential dumping via LSASS memory access (T1003.001) | Process is legitimate Windows Defender component but access pattern is suspicious | No clear evidence of malicious payload execution yet | Access permissions 0x3600 (READ_CONTROL, SYNCHRONIZE, and STANDARD_RIGHTS_READ)",SELECT * FROM win_event WHERE event_id=4672 AND process_path='C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26050.15-0\MsMpEng.exe' | SELECT * FROM win_process WHERE process_name='MsMpEng.exe' AND parent_process_name!='Windows Defender Service' | SELECT * FROM win_event WHERE event_id=4688 AND process_path LIKE '%MsMpEng.exe%',We've detected unusual LSASS memory access by Windows Defender process. This could indicate potential credential access activity - please review security logs for additional context.,False positive risk exists as MsMpEng.exe is a legitimate process. Verify if the access pattern matches known benign behavior.,5,,(MsMpEng.exe),3,3/3,yes,FLAG,partial,1,N,Y,Y,Y,"One unsupported access-mask decode: 0x3600 does not represent READ_CONTROL, SYNCHRONIZE and STANDARD_RIGHTS_READ. The generic Windows SQL is not runnable Wazuh/Discover syntax, but process-lineage and event checks are relevant. Draft and needs_investigation/medium confidence are appropriately cautious for Defender activity."
A09,T1548.003,qwen3:8b,operational,likely_true_positive,high,Auditd detected modification of /etc/sudoers.d/amtest with euid 0 | Process ran as root (uid/euid 0) from /home/notroot | Alert triggered by sudoers file modification (T1548.003) | Audit syscall 257 (tee) wrote to sudoers.d directory | Parent process 48552 initiated the operation,SELECT * FROM logs WHERE file_path = '/etc/sudoers.d/amtest' AND user = 'notroot' ORDER BY timestamp DESC; | CHECKSUM('/etc/sudoers.d/amtest') | SELECT * FROM process_events WHERE pid = 48552 AND command_line LIKE '%tee%' ORDER BY timestamp DESC;,The system detected an attempted modification of sudoers configuration files. Please verify if this was an authorized change.,No injection attempts detected. False positive risk low for sudoers modification alerts.,5,,,3,2/3,yes,FLAG,partial,1,N,Y,Y,Y,"One factual error: x86-64 syscall 257 is openat, not the write performed by tee. The set is not runnable Wazuh/Discover syntax (CHECKSUM(...) is not a standalone query), but the sudoers, integrity and process checks are relevant. Draft and high confidence are appropriate."
A10,T1566/T1059,qwen3:8b,operational,likely_true_positive,medium,Office app (winword.exe) spawned cmd.exe | Command line: cmd.exe /c whoami | Alerted by rule 100200 (T1566/T1059) | Timestamps show <1s detection latency | Evidence file: win_100200-office_shell-T1566_T1059.png,SELECT * FROM win_event WHERE event_id=1 AND process_name='winword.exe' AND command_line LIKE '%cmd.exe%' | SELECT * FROM win_process WHERE parent_process_name='winword.exe' AND child_process_name='cmd.exe' | SELECT * FROM win_event WHERE event_id=1 AND command_line LIKE '%whoami%',We detected an unusual command execution from Office application. Please verify if any suspicious activity occurred.,"Simple command line may be benign, but spawning cmd.exe from Office app is common in macro-based attacks. Timestamp skew noted.",5,,(winword.exe),3,3/3,yes,FLAG,Y,0,N,Y,Y,Y,"The complete operational prompt—not only the key_fields excerpt—states that winword.exe spawned cmd.exe and includes the rule ID, evidence file and immediate-latency note, so the summary is fully supported. The generic SQL is not runnable Wazuh/Discover syntax, but the parent/child and whoami checks are relevant. Draft and medium confidence are appropriate."
