alert_id,rule_id,ground_truth,t1_attack_utc,t2_alert_utc,detection_latency_seconds,t3_seen_utc,t4_done_utc,condition,analyst_disposition,disposition_correct,assistant_tag,assistant_tag_correct,notes
A01,100103,T1053.003,2026-07-08T15:59:27Z,2026-07-08T15:59:29.485Z,2.485,2026-07-10T00:20:27Z,2026-07-10T00:34:27Z,unassisted,True Positive,TRUE,,,"TRUE POSITIVE: Cron configuration modified at /etc/cron.d/amtest by tee executed as root (uid=0). The audit.key specifically references ""t1053_003_cron"" confirming scheduled task persistence. User with auid=1000 (non-root) escalated to root to modify system cron directory. This is a clear persistence mechanism (T1053.003) allowing malicious scheduled tasks to execute."
A02,100205,benign,2026-07-05T10:45:40.678Z,2026-07-05T10:45:40.678Z,,2026-07-10T00:36:27Z,2026-07-10T00:50:27Z,unassisted,Benign,TRUE,,,BENIGN SALTED: Registry Run key modification by msedge.exe (Microsoft Edge browser) setting MicrosoftEdgeAutoLaunch key in user's HKCU Run path. This is legitimate browser behavior for auto-launch functionality after updates. The executable path is the genuine Microsoft Edge installation in Program Files. Not a malicious impersonation. No suspicious parent-child relationships observed.
A03,100202,T1218,2026-07-05T15:40:13.681Z,2026-07-05T15:40:42.917Z,29.236,2026-07-10T09:27:27Z,2026-07-10T09:52:27Z,unassisted,True Positive,TRUE,,,TRUE POSITIVE: MSHTA.exe (Microsoft HTML Application host) executing VBScript that calls PowerShell to execute commands. The command line shows obfuscated VBScript leveraging about: protocol with Close(Execute()) pattern - a known technique for executing arbitrary code via trusted Windows binary. MSHTA is frequently abused as a LOLBin (T1218) to bypass application whitelisting. The script creates a Wscript.Shell object to run PowerShell with encoded commands.
A04,100105,T1037,2026-07-08T19:42:45Z,2026-07-08T19:42:46.711Z,1.711,2026-07-10T09:58:00Z,2026-07-10T10:10:09Z,unassisted,True Positive,TRUE,,,"TRUE POSITIVE: /etc/init.d/amtest_t1037_AM-LIN-T1037-20260708194238 created via tee as root. Audit.key ""t1037_init"" confirms boot/logon initialization script modification. User notroot (auid=1000) escalated to root (uid=0 euid=0) to write to init.d directory. This is a persistence mechanism (T1037) that ensures malicious scripts execute during system startup. Timestamp in filename suggests automated/scripted creation."
A05,100205,T1547.001,2026-07-05T16:05:21.898Z,2026-07-05T16:05:26.372Z,4.474,2026-07-10T10:18:23Z,2026-07-10T10:25:23Z,unassisted,True Positive,TRUE,,,"TRUE POSITIVE: Registry Run key modification at HKU\...\Run\AMTest by reg.exe. The ""AMTest"" value name suggests testing/attack activity rather than legitimate software. Reg.exe is being used to add persistence to the user's autorun registry key (T1547.001). This is a classic persistence technique that will execute the associated command each time the user logs in. No legitimate software uses this naming pattern."
A06,100116,T1098.004,2026-07-08T10:35:08Z,2026-07-08T10:35:09.734Z,1.734,2026-07-10T10:32:23Z,2026-07-10T10:44:14Z,unassisted,True Positive,TRUE,,,"TRUE POSITIVE: /root/.ssh/authorized_keys accessed/modified by bash process as root. Audit.key ""t1552_004_ssh_keys"" indicates SSH authorized_keys persistence (T1098.004). User notroot (auid=1000) escalated to root to modify root's SSH authorized_keys file. This allows the attacker to maintain SSH access to the root account. The modification of authorized_keys is a definitive indicator of backdoor/persistence activity."
A07,100109,benign,2026-07-08T17:19:54Z,2026-07-08T17:19:54.669Z,0.669,2026-07-10T11:04:14Z,2026-07-10T11:09:14Z,unassisted,Benign,TRUE,,,"BENIGN SALTED: Setuid/setgid bit change on /home/notroot/.config/dconf/user by dconf-service with uid=1000 (notroot). The audit.key ""t1548_001_setuid"" triggered but this is a legitimate dconf database file being modified by the user's own dconf-service process. The file is in the user's own home directory .config folder  and the process is running as the same user (uid=1000 euid=1000). No privilege escalation actually occurred - this is normal GNOME/GTK configuration file operations."
A08,100203,benign,2026-07-05T19:31:06.116Z,2026-07-05T19:31:06.116Z,,2026-07-10T11:12:14Z,2026-07-10T11:17:14Z,unassisted,Benign,TRUE,,,BENIGN SALTED: LSASS access by MsMpEng.exe (Microsoft Defender) with grantedAccess 0x3600. Windows Defender legitimately accesses LSASS for process protection and security monitoring purposes. The sourceImage path is the genuine Windows Defender platform directory (C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26050.15-0\MsMpEng.exe). The grantedAccess value 0x3600 is typical for legitimate security software  unlike malicious credential dumping tools that request 0x1fffff (full access).
A09,100102,T1548.003,2026-07-08T15:53:51Z,2026-07-08T15:53:52.816Z,1.816,2026-07-10T11:23:14Z,2026-07-10T11:32:14Z,unassisted,True Positive,TRUE,,,"TRUE POSITIVE: /etc/sudoers.d/amtest created by tee as root. Audit.key ""t1548_003_sudoers"" confirms sudoers configuration modification. User notroot (auid=1000) escalated to root (uid=0) to create a new sudoers.d file. This allows the user to execute commands with sudo without a password or with elevated privileges - a persistence and privilege escalation mechanism (T1548.003). The filename ""amtest"" is suspicious and likely part of an attack campaign."
A10,100200,T1566/T1059,2026-07-04T18:31:22.294Z,2026-07-04T18:31:21.946Z,0,2026-07-10T11:38:51Z,2026-07-10T11:48:51Z,unassisted,True Positive,TRUE,,,TRUE POSITIVE: Office application (winword.exe from Temp directory) spawning cmd.exe to execute whoami. The image path C:\Users\user1\AppData\Local\Temp\winword.exe indicates the Office application is running from a temporary/user directory rather than Program Files - this is suspicious as legitimate Office executables should reside in Program Files. This is classic macro-based execution (T1566) where a malicious Office document spawns a command interpreter (T1059) to execute reconnaissance commands like whoami. [MEASUREMENT NOTE: t2 (alert) precedes t1 (attack) by ~0.35s due to clock skew between win-victim and wazuh-siem; MTTD floored to 0. NTP sync would remove this.]
A11,100203,benign,2026-07-05T19:30:17.657Z,2026-07-05T19:30:17.657Z,,2026-07-10T12:20:51Z,2026-07-10T12:30:17Z,unassisted,Benign,TRUE,,,"BENIGN SALTED: LSASS access by wazuh-agent.exe with grantedAccess 0x1fffff. While 0x1fffff is the same full access pattern used by credential dumping tools the source process is the legitimate Wazuh EDR/XDR agent installed in Program Files. Wazuh requires this level of access for its security monitoring capabilities (process injection detection, memory scanning, etc.). This is a false positive where legitimate security software triggers its own detection rule."
A12,100104,benign,2026-07-08T11:41:52Z,2026-07-08T11:41:53.842Z,1.842,2026-07-10T12:38:17Z,2026-07-10T12:44:27Z,unassisted,Benign,TRUE,,,"BENIGN SALTED: Systemd unit modified by snapd process at /etc/systemd/system/snap-snapd-27406.mount.Ph97MJnHTvYL~. This is a snap package lifecycle operation - snapd periodically creates, modifies, and deletes systemd mount units for snap applications. The audit.key ""t1543_002_systemd"" triggered but this is legitimate system activity from the official snap daemon (uid=0, ppid=1 indicating it's a system service). The auid=4294967295 indicates this is a system/daemon process,  not a user-initiated attack."
A13,100101,T1136/T1098,2026-07-08T11:19:33Z,2026-07-08T11:19:34.418Z,1.418,2026-07-10T12:47:27Z,2026-07-10T13:01:27Z,unassisted,True Positive,TRUE,,,"TRUE POSITIVE: /etc/passwd modified by useradd command as root. Audit.key ""t1136_accounts"" confirms user/group database manipulation. User notroot (auid=1000) used sudo/privilege escalation (uid=0, euid=0) to add a new user account. This is a persistence and account manipulation technique (T1136/T1098). The modification of passwd file indicates creation of a new user account,  likely for maintaining access or further privilege escalation."
A14,100203,T1003.001,2026-07-05T19:33:38.621Z,2026-07-05T19:33:40.750Z,2.129,2026-07-10T13:04:25Z,2026-07-10T13:12:29Z,unassisted,True Positive,TRUE,,,TRUE POSITIVE: LSASS access by rundll32.exe with grantedAccess 0x1fffff. The screenshot evidence file confirms this is the T1003.001 (LSASS Memory) attack. Rundll32.exe is a trusted Windows binary being abused as a LOLBin to inject into or access LSASS process memory with full access rights (0x1fffff). This is a classic credential dumping technique where attackers read LSASS memory to extract NTLM hashes and other authentication material.
