alert_id,ground_truth,model,view,disposition,confidence,summary,investigation_queries,draft_user_message,caveats,auto_summary_lines,auto_summary_over_5,auto_unknown_entities,auto_queries_count,auto_queries_syntactic,auto_draft_present,auto_tid_in_summary,summary_supported(Y/N/partial),unsupported_statement_count(int),queries_valid(Y/N),queries_relevant(Y/N),draft_appropriate(Y/N),confidence_calibrated(Y/N),reviewer_notes
A01,T1053.003,gpt-5.5,operational,needs_investigation,medium,"Linux auditd recorded a successful root-level write/open event against /etc/cron.d/amtest. | The modifying process was /usr/bin/tee with cwd /home/notroot, auid 1000, uid/euid 0, tty pts1. | This matches scheduled task persistence via cron and is mapped to MITRE ATT&CK T1053.003. | Activity occurred on agent linux-victim at 2026-07-08T15:59:27Z and alerted about 2.5 seconds later. | Determine whether this was an authorized admin/test cron change or unauthorized persistence.","agent.name:""linux-victim"" AND audit.file:""/etc/cron.d/amtest"" AND @timestamp:[2026-07-08T15:45:00Z TO 2026-07-08T16:15:00Z] | agent.name:""linux-victim"" AND (audit.pid:""48762"" OR audit.ppid:""48761"" OR audit.auid:""1000"") AND @timestamp:[2026-07-08T15:45:00Z TO 2026-07-08T16:15:00Z] | agent.name:""linux-victim"" AND (audit.file:/etc/cron*/ OR audit.key:""t1053_003_cron"" OR rule.description:*cron*) AND @timestamp:[2026-07-08T00:00:00Z TO 2026-07-09T00:00:00Z]","Hi, we observed a root-level change to a cron configuration file on linux-victim from a session associated with your account. Can you confirm whether you intentionally created or modified /etc/cron.d/amtest around 2026-07-08 15:59 UTC?",This may be benign if it was an authorized admin or test change; no prompt-injection attempt was observed in the alert data.,5,,/etc/cron.d/amtest.,3,3/3,yes,FLAG,Y,0,Y,Y,Y,Y,All summary lines traceable; queries are valid and relevant; draft is accurate and safe; medium confidence is appropriate given the need to distinguish admin activity.
A02,benign,gpt-5.5,operational,likely_benign,medium,"Sysmon registry autorun alert on win-victim for a HKU Run key value named MicrosoftEdgeAutoLaunch_4BA50610520F860366FF3F962A4A3114. | The modifying process image is Microsoft Edge at C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe. | The value name and path are consistent with legitimate Microsoft Edge auto-launch/startup behavior, but the actual registry value data/command line is not shown. | Alert metadata maps this to ATT&CK T1547.001 for Run/RunOnce persistence.","agent.name:""win-victim"" AND data.win.eventdata.targetObject:*""\Software\Microsoft\Windows\CurrentVersion\Run\MicrosoftEdgeAutoLaunch_4BA50610520F860366FF3F962A4A3114""* | agent.name:""win-victim"" AND data.win.eventdata.image:""C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"" AND @timestamp:[2026-07-05T10:35:00Z TO 2026-07-05T10:55:00Z] | agent.name:""win-victim"" AND data.win.eventdata.targetObject:*""\Software\Microsoft\Windows\CurrentVersion\Run\""* AND @timestamp:[2026-07-05T10:35:00Z TO 2026-07-05T10:55:00Z]","Hi, we noticed Microsoft Edge configured an auto-start entry on your Windows system. This is often normal browser behavior, but we are doing a quick verification. Did you recently open, update, or change startup settings for Edge?","Likely false positive due to normal Edge auto-launch behavior; verify the registry value data, signer/hash, parent process, and timing because the alert includes limited raw event detail and has inconsistent timing notes.",4,,C:\Program,3,3/3,yes,FLAG,Y,0,Y,Y,Y,Y,All claims supported; queries are appropriate; draft is cautious and accurate; medium confidence is well calibrated for a likely benign alert.
A03,T1218,gpt-5.5,operational,needs_investigation,medium,Sysmon alert on win-victim for C:\Windows\System32\mshta.exe execution. | Command line used inline HTA/VBScript to create Wscript.Shell and launch powershell.exe. | PowerShell arguments included -nop and a simple Write-Host/Sleep test-style command. | Behavior matches signed binary proxy execution via mshta and script interpreter chaining.,"agent.name:""win-victim"" AND (data.win.eventdata.image:*\mshta.exe OR data.win.eventdata.parentImage:*\mshta.exe) AND @timestamp:[2026-07-05T15:30:00Z TO 2026-07-05T15:50:00Z] | agent.name:""win-victim"" AND data.win.eventdata.parentImage:*\mshta.exe AND data.win.eventdata.image:*\powershell.exe AND @timestamp:[2026-07-05T15:30:00Z TO 2026-07-05T16:00:00Z] | agent.name:""win-victim"" AND data.win.eventdata.commandLine:(*mshta* OR *powershell* OR *-nop* OR *EncodedCommand*) AND @timestamp:[2026-07-05T15:00:00Z TO 2026-07-05T17:00:00Z]","Hi, we observed a script-style mshta.exe command on your Windows system that launched PowerShell. Was this part of any testing, administration, or software activity you performed around 2026-07-05 15:40 UTC?","The payload appears test-like, but mshta launching PowerShell with -nop is a common malicious pattern; validate whether this was authorized activity.",4,,C:\Windows\System32\mshta.exe,3,3/3,yes,,Y,0,Y,Y,Y,Y,All points traceable; queries are solid; draft is appropriate; medium confidence fits the uncertainty.
A04,T1037,gpt-5.5,operational,needs_investigation,medium,"Root-privileged process /usr/bin/tee wrote to an init script path under /etc/init.d on linux-victim. | Audit session auid 1000 from tty pts1 and cwd /home/notroot indicates a non-root login context escalated to uid/euid 0. | Target file was /etc/init.d/amtest_t1037_AM-LIN-T1037-20260708194238, which could enable boot/logon persistence if registered or made executable. | Alert fired about 1.7 seconds after the audited write event.","agent.name:""linux-victim"" AND (audit.pid:""57504"" OR audit.ppid:""57503"" OR audit.file:""/etc/init.d/amtest_t1037_AM-LIN-T1037-20260708194238"") | agent.name:""linux-victim"" AND audit.auid:""1000"" AND @timestamp:[""2026-07-08T19:30:00Z"" TO ""2026-07-08T20:00:00Z""] | agent.name:""linux-victim"" AND (audit.file:/etc/init.d/* OR audit.file:/etc/rc*.d/* OR audit.command:(chmod OR chown OR systemctl OR service OR update-rc.d OR chkconfig)) AND @timestamp:[""2026-07-08T19:30:00Z"" TO ""2026-07-08T20:30:00Z""]",We observed a root-level change to an init script on linux-victim from your session context. Can you confirm whether you were performing authorized service/startup script testing around 2026-07-08 19:42 UTC?,"Filename resembles a possible test artifact, but writing to /etc/init.d as root is persistence-relevant and should be validated with surrounding commands and authorization.",4,,,3,3/3,yes,FLAG,Y,0,Y,Y,Y,Y,All supported; queries and draft are good; medium confidence reasonable.
A05,T1547.001,gpt-5.5,operational,needs_investigation,medium,Windows host win-victim generated a high-severity Sysmon CLI alert for a Run key registry value modification. | Process involved was C:\WINDOWS\system32\reg.exe. | Target registry value was HKU\S-1-5-21-2783956757-1425684079-3775447278-1000\Software\Microsoft\Windows\CurrentVersion\Run\AMTest. | This matches autorun persistence behavior via Windows Registry Run keys. | Alert fired about 4.5 seconds after the recorded event time.,"agent.name:""win-victim"" AND data.win.eventdata.targetObject:""HKU\\S-1-5-21-2783956757-1425684079-3775447278-1000\\Software\\Microsoft\\Windows\\CurrentVersion\\Run\\AMTest"" | agent.name:""win-victim"" AND data.win.eventdata.image:""C:\\WINDOWS\\system32\\reg.exe"" AND @timestamp:[2026-07-05T15:55:00Z TO 2026-07-05T16:15:00Z] | agent.name:""win-victim"" AND (data.win.system.eventID:1 OR data.win.system.eventID:13) AND @timestamp:[2026-07-05T15:55:00Z TO 2026-07-05T16:15:00Z]","Hi, we are reviewing a registry autorun change on your Windows system around 2026-07-05 16:05 UTC. Did you install, update, or test any software that may have added a startup entry named AMTest?","The value name AMTest may indicate authorized testing, but Run key modifications are commonly used for persistence and should be validated against surrounding process and user activity.",5,,C:\WINDOWS\system32\reg.exe.,3,3/3,yes,,Y,0,Y,Y,Y,Y,All statements traceable; queries relevant; draft appropriate; medium confidence is fine.
A06,T1098.004,gpt-5.5,operational,needs_investigation,medium,"Auditd alert on linux-victim for /root/.ssh/authorized_keys access/modification. | Process was /usr/bin/bash running as uid/euid 0 with original login auid 1000 from tty pts1. | Working directory was /home/notroot, suggesting an interactive root shell/session by user 1000. | This may indicate SSH authorized-key persistence, but could also be legitimate root administration.","agent.name:""linux-victim"" AND data.audit.serial:""73567"" | agent.name:""linux-victim"" AND data.audit.pid:""43536"" OR data.audit.ppid:""43535"" | agent.name:""linux-victim"" AND (data.audit.file:""/root/.ssh/authorized_keys"" OR full_log:""/root/.ssh/authorized_keys"")","Hi, we observed an interactive root session accessing /root/.ssh/authorized_keys on linux-victim around 2026-07-08 10:35 UTC. Can you confirm whether this was expected maintenance or SSH key management activity?","False-positive risk exists for legitimate admin key maintenance; alert data does not show the exact open flags or file diff, and no prompt-injection attempt was observed.",4,,,3,3/3,yes,,Y,0,Y,Y,Y,Y,All supported; draft appropriately cautious; medium confidence.
A07,benign,gpt-5.5,operational,likely_benign,medium,"Auditd reported a successful chmod-related syscall by /usr/libexec/dconf-service on linux-victim. | Target file was /home/notroot/.config/dconf/user, under the same user's home directory. | Process ran as uid/euid/auid 1000 with no TTY, consistent with a desktop dconf service updating user settings. | Alert maps to setuid/setgid bit change, but the event does not include the resulting file mode to confirm SUID/SGID was actually set.","agent.name:""linux-victim"" AND data.audit.serial:""76247"" | agent.name:""linux-victim"" AND data.audit.exe:""/usr/libexec/dconf-service"" AND data.audit.auid:""1000"" AND @timestamp:[2026-07-08T17:14:54Z TO 2026-07-08T17:24:54Z] | agent.name:""linux-victim"" AND data.audit.file:""/home/notroot/.config/dconf/user"" AND (data.audit.syscall:""90"" OR rule.id:""100109"")","Hi, we noticed your desktop dconf service updated permissions on your GNOME configuration file around 17:19 UTC. Were you changing desktop or application settings at that time?","Likely false positive from normal dconf activity, but verify the final file permissions because the alert data does not show the resulting mode bits.",4,,,3,3/3,yes,,Y,0,Y,Y,Y,Y,All claims are supported; queries are valid and relevant; draft is appropriate; medium confidence for benign is well calibrated.
A08,benign,gpt-5.5,operational,likely_benign,medium,"Sysmon-style alert for LSASS process access by Windows Defender executable MsMpEng.exe on win-victim. | Source path is C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26050.15-0\MsMpEng.exe with granted access 0x3600. | Alert maps to Credential Access / LSASS Memory, but Microsoft Defender commonly opens LSASS for legitimate scanning. | Validate the executable signature/path and check for nearby suspicious process access or Defender tampering before closing.","agent.name:""win-victim"" AND rule.id:""100203"" AND win.eventdata.sourceImage:*MsMpEng.exe* | agent.name:""win-victim"" AND win.system.eventID:10 AND win.eventdata.targetImage:*lsass.exe* AND NOT win.eventdata.sourceImage:*\\Windows Defender\\Platform\\*\\MsMpEng.exe | agent.name:""win-victim"" AND (win.eventdata.image:*MsMpEng.exe* OR win.eventdata.sourceImage:*MsMpEng.exe*)","Hi, we observed Microsoft Defender interacting with a protected Windows process on your system. This is often normal antivirus activity, but we are validating the event details and may follow up if anything unusual is found.","Likely false positive from legitimate Defender LSASS scanning, but confirm digital signature, parent process, exact raw Sysmon fields, and whether any non-Defender process accessed LSASS around the same time.",4,,C:\ProgramData\Microsoft\Windows,3,3/3,yes,,Y,0,Y,Y,Y,Y,All traceable; queries are well-formed and useful; draft is cautious; medium confidence suitable.
A09,T1548.003,gpt-5.5,operational,needs_investigation,high,"auditd reported a successful sudoers-related file access/modification on linux-victim at 2026-07-08T15:53:51Z. | Process /usr/bin/tee ran with uid/euid 0 and targeted /etc/sudoers.d/amtest. | The login audit user was auid 1000, from cwd /home/notroot on tty pts1. | This matches MITRE T1548.003 and may indicate privilege-escalation persistence if unauthorized.","agent.name:""linux-victim"" AND data.audit.auid:""1000"" AND @timestamp:[2026-07-08T15:45:00Z TO 2026-07-08T16:05:00Z] | agent.name:""linux-victim"" AND (data.audit.file:""/etc/sudoers"" OR data.audit.file:/etc/sudoers.d/*) AND @timestamp:[2026-07-08T15:00:00Z TO 2026-07-08T17:00:00Z] | agent.name:""linux-victim"" AND (data.audit.pid:""48553"" OR data.audit.ppid:""48552"" OR data.audit.command:""tee"") AND @timestamp:[2026-07-08T15:45:00Z TO 2026-07-08T16:05:00Z]","Hi, we detected a sudoers configuration change on linux-victim associated with your login session around 15:53 UTC. Can you confirm whether you intentionally created or modified /etc/sudoers.d/amtest?","This may be legitimate admin or testing activity; verify the user mapped to auid 1000, the file contents, and any approved change record. No prompt-injection attempt observed.",4,,/etc/sudoers.d/amtest.,3,3/3,yes,FLAG,Y,0,Y,Y,Y,Y,All supported; high confidence is justified by strong sudoers mod evidence; draft is appropriate.
A10,T1566/T1059,gpt-5.5,operational,likely_true_positive,medium,"Sysmon alert on win-victim: cmd.exe executed with command line ""cmd.exe /c whoami"". | Rule indicates the parent was an Office-like executable at C:\Users\user1\AppData\Local\Temp\winword.exe. | Office spawning cmd.exe is suspicious; winword.exe running from Temp is also abnormal. | Observed activity is consistent with macro/document-based execution or a staged test command. | Detection appears effectively immediate; negative raw latency is explained by clock skew.","agent.name:""win-victim"" AND data.win.eventdata.image:""C:\Windows\System32\cmd.exe"" AND data.win.eventdata.commandLine:*whoami* | agent.name:""win-victim"" AND data.win.eventdata.parentImage:""C:\Users\user1\AppData\Local\Temp\winword.exe"" | agent.name:""win-victim"" AND data.win.eventdata.utcTime:[""2026-07-04T18:20:00Z"" TO ""2026-07-04T18:45:00Z""] AND (data.win.eventdata.image:*powershell.exe OR data.win.eventdata.image:*wscript.exe OR data.win.eventdata.image:*cscript.exe OR data.win.eventdata.image:*mshta.exe OR data.win.eventdata.image:*rundll32.exe OR data.win.eventdata.image:*cmd.exe)","Hi, we’re reviewing an alert from your workstation involving a document-related process launching a command shell. Did you open any email attachments or documents around 2026-07-04 18:31 UTC, or notice anything unusual?",T1566/phishing is suggested by the rule context but not directly proven by the shown telemetry; no prompt-injection attempt observed.,5,,C:\Users\user1\AppData\Local\Temp\winword.exe.,3,3/3,yes,,Y,0,Y,Y,Y,Y,"Grounding is assessed against the complete operational prompt, not only the worksheet's key_fields excerpt. The prompt's rule_description explicitly states that C:\Users\user1\AppData\Local\Temp\winword.exe spawned cmd.exe and describes a possible malicious macro, so the summary and cautious document-related draft are prompt-grounded. Queries are valid and relevant; medium confidence remains calibrated."
