alert_id,ground_truth,model,view,disposition,confidence,summary,investigation_queries,draft_user_message,caveats,auto_summary_lines,auto_summary_over_5,auto_unknown_entities,auto_queries_count,auto_queries_syntactic,auto_draft_present,auto_tid_in_summary,summary_supported(Y/N/partial),unsupported_statement_count(int),queries_valid(Y/N),queries_relevant(Y/N),draft_appropriate(Y/N),confidence_calibrated(Y/N),reviewer_notes,review_provenance,agent_second_pass_changes
A01,T1053.003,llama3.1,operational,likely_true_positive,high,Linux system alert: Cron configuration modified | Scheduled-task persistence (T1053.003) detected | Audit log shows suspicious syscall 257 by root user,Get cron job configuration for /etc/cron.d/amtest | Check system logs for similar suspicious syscalls by root user | Verify if any other scheduled tasks are modified or added,We detected a potential security issue with your system's cron configuration. Please investigate and take necessary actions.,Possible prompt-injection attempt in rule_description field: 'AlertMind: Cron configuration modified - scheduled-task persistence (T1053.003)',3,,,3,0/3,yes,FLAG,Y,0,N,Y,Y,Y,"Queries are plain‑English instructions, not runnable query syntax.",Initial verdicts human-authored; Codex performed an evidence-led second-pass check on 2026-08-31; all second-pass verdicts explicitly approved by the human reviewer on 2026-08-31.,No verdict change in the agent-assisted second pass.
A02,benign,llama3.1,operational,likely_true_positive,high,Windows Sysmon alert | Registry Run Keys / Startup Folder (T1547.001) | Autorun persistence detected,Get-ItemProperty -Path 'HKU\S-1-5-21-2783956757-1425684079-3775447278-1000\Software\Microsoft\Windows\CurrentVersion\Run' | Select-Object -ExpandProperty MicrosoftEdgeAutoLaunch_4BA50610520F860366FF3F962A4A3114 | Get-WinEvent -FilterHashtable @{LogName='Security';ID=4688} | Where-Object {$_.TimeCreated -gt '2026-07-05T10:45:36.611Z'},Our security system detected a potential issue with your Windows registry. We are investigating further.,"False positive risk is low due to the presence of ATT&CK metadata, but timing analysis may be incomplete.",3,,,2,1/2,yes,FLAG,Y,0,N,Y,Y,N,"Summary facts are supported, but high confidence is mis-calibrated for this benign Edge auto-launch event. The query set is invalid: Get-ItemProperty uses HKU\... without an HKU: PSDrive or a Registry::HKEY_USERS path. Under the all-or-nothing query-set rule, queries_valid=N.",Initial verdicts human-authored; Codex performed an evidence-led second-pass check on 2026-08-31; all second-pass verdicts explicitly approved by the human reviewer on 2026-08-31.,No verdict change in the agent-assisted second pass.
A03,T1218,llama3.1,operational,likely_true_positive,high,Windows system binary proxy execution via mshta.exe | Possible signed-binary proxy execution (T1218) | Defense Evasion tactic | System Binary Proxy Execution technique,Get all processes running under the context of mshta.exe on win-victim. | Check for any suspicious PowerShell commands executed recently on win-victim.,We detected a potential security issue with your system. Our team is investigating further to ensure your safety.,"Possible prompt-injection attempt in the command line field, but no clear instructions to follow or obey.",4,,,2,0/2,yes,FLAG,Y,0,N,Y,Y,Y,"Natural‑language, no query syntax.",Initial verdicts human-authored; Codex performed an evidence-led second-pass check on 2026-08-31; all second-pass verdicts explicitly approved by the human reviewer on 2026-08-31.,No verdict change in the agent-assisted second pass.
A04,T1037,llama3.1,operational,likely_true_positive,high,Linux system alert: Boot/logon init script modified (rc.local / init.d) | T1037 ATT&CK technique detected | Persistence and Privilege Escalation tactics involved,Get the contents of /etc/init.d/amtest_t1037_AM-LIN-T1037-20260708194238 file. | Check for suspicious modifications to rc.local or init.d scripts. | Verify if user 'notroot' has any other suspicious activities.,A security alert was triggered on your system. Our team is investigating the cause.,"False positive risk: low, as the ATT&CK technique ID and tactic names match known malicious activity patterns.",3,,,3,0/3,yes,FLAG,Y,0,N,Y,Y,Y,"All are instructional prose, not queries.",Initial verdicts human-authored; Codex performed an evidence-led second-pass check on 2026-08-31; all second-pass verdicts explicitly approved by the human reviewer on 2026-08-31.,No verdict change in the agent-assisted second pass.
A05,T1547.001,llama3.1,operational,likely_true_positive,high,Registry Run Key modification detected on win-victim | Possible autorun persistence via T1547.001 | Windows Sysmon CLI alert,SELECT * FROM registry WHERE path='HKU\S-1-5-21-2783956757-1425684079-3775447278-1000\Software\Microsoft\Windows\CurrentVersion\Run' AND value='AMTest' | SELECT * FROM processes WHERE image='reg.exe',Our system detected a potential security issue with the registry. We are investigating further.,False positive risk: unlikely due to specific rule description and ATT&CK metadata,3,,,2,2/2,yes,FLAG,Y,0,N,Y,Y,Y,"Summary and draft are supported, and high confidence is appropriate for the observed AMTest Run-key change. The query set is invalid: the osquery registry query uses a non-standard value column, and the processes query uses image instead of documented columns such as name/path/cmdline. Under the all-or-nothing rule, queries_valid=N.",Initial verdicts human-authored; Codex performed an evidence-led second-pass check on 2026-08-31; all second-pass verdicts explicitly approved by the human reviewer on 2026-08-31.,No verdict change in the agent-assisted second pass.
A06,T1098.004,llama3.1,operational,likely_true_positive,high,Linux system alert: /root/.ssh/authorized_keys accessed | Possible SSH authorized-keys persistence (T1098.004) | Auditd syscall 257 on /home/notroot by root user,Get the SSH client IP address and user credentials used for login. | Check if any other suspicious files or directories exist in /root/.ssh/ | Verify if the authorized_keys file has been modified recently,Alert: Possible unauthorized access to your system's SSH keys. Please investigate and secure your account.,"No clear indication of malicious intent, but persistence tactic is suspicious.",3,,,3,1/3,yes,FLAG,partial,1,N,Y,Y,Y,"One summary statement conflates audit.cwd=/home/notroot with the accessed file, audit.file=/root/.ssh/authorized_keys; it is therefore partial with one unsupported/misleading assertion. The investigation items are relevant but are natural-language instructions rather than runnable queries. The draft and high confidence remain appropriate for root authorized_keys access from this session.",Initial verdicts human-authored; Codex performed an evidence-led second-pass check on 2026-08-31; all second-pass verdicts explicitly approved by the human reviewer on 2026-08-31.,No verdict change in the agent-assisted second pass.
A07,benign,llama3.1,operational,likely_true_positive,high,Linux auditd alert: setuid/setgid bit change by user | Possible privilege escalation (T1548.001) | User notroot accessed /home/notroot/.config/dconf/user,Get the list of users with setuid/setgid bits changed in the last hour: select * from osquery where (syscall = 'setuid' or syscall = 'setgid') and timestamp > now() - interval '1h' | Check for suspicious dconf-service activity: select * from osquery where process_name = 'dconf-service' and (cwd like '/home/%' or cwd like '/root/') | Verify if the user notroot has any other suspicious activities in the last 24 hours: select * from osquery where auid = 1000 and timestamp > now() - interval '1d',We detected unusual activity on your system. Please investigate /home/notroot/.config/dconf/user for potential security issues.,"False-positive risk: this alert may trigger on legitimate setuid/setgid changes, but the combination of user notroot and specific file access suggests malicious intent.",3,,,3,3/3,yes,FLAG,partial,1,N,Y,Y,N,One unsupported attribution: auid=1000 and a path under /home/notroot do not by themselves prove the username is 'notroot'. The setuid/setgid context is in the complete operational prompt. The osquery-like items are not runnable as written but are relevant. The draft is acceptable; high confidence remains uncalibrated for benign dconf activity.,Initial verdicts human-authored; Codex performed an evidence-led second-pass check on 2026-08-31; all second-pass verdicts explicitly approved by the human reviewer on 2026-08-31.,"Verdicts changed: summary_supported, unsupported_statement_count; reviewer note rewritten."
A08,benign,llama3.1,operational,likely_true_positive,high,LSASS access by MsMpEng.exe | Possible credential dumping (T1003.001) | Credential Access tactic | Windows Defender process accessed LSASS memory | High privilege escalation risk,Get the process tree of MsMpEng.exe around the time of the alert. | Check for suspicious registry modifications or file creations by MsMpEng.exe. | Verify if any credentials were dumped from LSASS memory.,Our security system detected a potential issue with your Windows Defender process accessing sensitive memory. We're investigating further to ensure your system's integrity.,"False positive risk is low due to the specific rule description and ATT&CK metadata, but timing analysis may be required for accurate results.",5,,,3,1/3,yes,FLAG,partial,2,N,Y,N,N,"Two unsupported summary claims: 0x3600 does not establish LSASS memory read because it lacks PROCESS_VM_READ, and 'high privilege escalation risk' is not supported by the alert. The prose investigation items are relevant but not runnable queries. The draft repeats the unsupported sensitive-memory claim, so it is inappropriate; high confidence remains uncalibrated for benign Defender activity.",Initial verdicts human-authored; Codex performed an evidence-led second-pass check on 2026-08-31; all second-pass verdicts explicitly approved by the human reviewer on 2026-08-31.,"Verdicts changed: unsupported_statement_count, draft_appropriate; reviewer note rewritten."
A09,T1548.003,llama3.1,operational,likely_true_positive,high,Linux system alert: sudoers modified | Privilege escalation persistence detected (T1548.003) | Audit log shows suspicious syscall (257) with success and exit code 3,"Get sudoers file contents around the time of modification (e.g., 'wazuh query auditd | grep /etc/sudoers.d/amtest') | Check for suspicious processes running under uid/euid 0 (e.g., 'wazuh query process | grep uid=0')",Your system's sudoers file has been modified. Please investigate and restore the original configuration.,"False positive risk: low, as syscall 257 is typically used for tee command execution with elevated privileges.",3,,,2,0/2,yes,FLAG,Y,0,N,Y,N,Y,The query set is invalid because 'wazuh query' is not a recognised CLI command and the syntax is not well formed. The draft is also inappropriate: it instructs the user to restore the configuration before authorization or maliciousness has been established. The summary and high confidence remain supported by the sudoers modification alert.,Initial verdicts human-authored; Codex performed an evidence-led second-pass check on 2026-08-31; all second-pass verdicts explicitly approved by the human reviewer on 2026-08-31.,No verdict change in the agent-assisted second pass.
A10,T1566/T1059,llama3.1,operational,likely_true_positive,high,Office app winword.exe spawned cmd.exe | Possible malicious macro (T1566/T1059) | Initial Access and Execution tactics | Phishing and Command and Scripting Interpreter techniques,Get all processes spawned by winword.exe in the last hour. | Check if any other Office apps have spawned cmd.exe recently. | Verify if user1 has executed any suspicious macros or scripts.,We detected a possible malicious macro execution from your Office app. Please review your recent activities and ensure all software is up-to-date.,"False-positive risk: benign Office apps may spawn cmd.exe for legitimate purposes; however, the combination of winword.exe and cmd.exe suggests potential malicious activity.",4,,,3,0/3,yes,FLAG,Y,0,N,Y,Y,N,"Grounding is assessed against the complete operational prompt. Its rule_description explicitly states that winword.exe spawned cmd.exe and describes a possible malicious macro, so the summary and cautious draft are prompt-grounded (Y/0). The investigation items remain natural-language rather than runnable queries. High confidence is not calibrated because the raw process evidence is only cmd.exe /c whoami and the rule itself says 'possible'.",Initial verdicts human-authored; Codex performed an evidence-led second-pass check on 2026-08-31; all second-pass verdicts explicitly approved by the human reviewer on 2026-08-31.,No verdict change in the agent-assisted second pass.
